id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
152,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN RAWAT INAP,0,ORANG,2020
153,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
154,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN RAWAT JALAN,449909,ORANG,2020
155,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN RAWAT INAP,0,ORANG,2020
156,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN GANGGUAN JIWA,4447,ORANG,2020
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN RAWAT INAP,0,ORANG,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
160,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN RAWAT INAP,0,ORANG,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
